Depth_BML,Temperature,Age,Beta
0,40.0,0.0,6.6
100,43.47136071480143,0.6871659903001581,6.600102294389865
200,46.942721429602855,1.3743319806003162,6.600232231042677
300,50.41408214440429,2.0614979709004744,6.60039674206547
400,53.88544285920571,2.7486639612006325,6.600604362382795
500,57.356803574007145,3.43582995150079,6.600865568508947
600,60.82816428880857,4.122995941800949,6.601193181977925
700,64.29952500361,4.810161932101106,6.601602848348783
800,67.77088571841142,5.497327922401265,6.602113604263547
900,71.24224643321287,6.184493912701423,6.602748546755638
1000,74.71360714801429,6.871659903001581,6.6035356208890805
1100,78.18496786281571,7.558825893301739,6.604508543844916
1200,81.65632857761715,8.245991883601897,6.605707885743917
1300,85.12768929241858,8.933157873902056,6.6071823297713355
1400,88.59905000722,9.620323864202213,6.608990136497818
1500,92.07041072202142,10.307489854502371,6.611200839590412
1600,95.54177143682286,10.99465584480253,6.61389720226118
1700,99.01313215162428,11.681821835102689,6.617177465640623
1800,102.48449286642573,12.368987825402844,6.621157921554839
1900,105.95585358122716,13.056153815703004,6.625975842608437
2000,109.42721429602858,13.743319806003162,6.63179280159684
2100,112.89857501083,14.43048579630332,6.638798409515406
2200,116.36993572563142,15.117651786603478,6.647214496041505
2300,119.84129644043286,15.804817776903636,6.6572997473574835
2400,123.31265715523428,16.491983767203795,6.669354802301397
2500,126.78401787003573,17.179149757503954,6.683727787496341
2600,130.25537858483716,17.866315747804112,6.70082024335942
2700,133.72673929963858,18.553481738104267,6.721093353350665
2800,137.19810001444,19.240647728404426,6.745074335679357
2900,140.66946072924145,19.927813718704584,6.7733627867220445
3000,144.14082144404284,20.614979709004743,6.806636675104409
3100,147.6121821588443,21.3021456993049,6.845657571168999
3200,151.0835428736457,21.98931168960506,6.891274555150707
3300,154.55490358844716,22.67647767990522,6.94442607660861
3400,158.02626430324858,23.363643670205377,7.006138837420737
3500,161.49762501805,24.050809660505532,7.077522544518526
3600,164.96898573285145,24.73797565080569,7.159759135968955
3700,168.44034644765287,25.42514164110585,7.254084843223887
3800,171.9117071624543,26.112307631406008,7.36176324395465
3900,175.38306787725574,26.799473621706166,7.484047331010158
4000,178.85442859205716,27.486639612006325,7.622128641488785
4100,182.32578930685855,28.173805602306484,7.777071747276162
4200,185.79715002166,28.86097159260664,7.949733020235044
4300,189.26851073646145,29.548137582906797,8.140663685587139
4400,192.73987145126284,30.235303573206956,8.34999890329745
4500,196.2112321660643,30.92246956350711,8.577337080657983
4600,199.6825928808657,31.609635553807273,8.821616856147623
4700,203.15395359566716,32.29680154410743,9.081003096408557
4800,206.62531431046855,32.98396753440759,9.35279747291382
4900,210.09667502527,33.67113352470775,9.633393065475374
5000,213.56803574007145,34.35829951500791,9.91829492011926
5100,217.03939645487287,35.045465505308066,10.202228141891748
5200,220.5107571696743,35.732631495608224,10.4793503017097
5300,223.98211788447577,36.41979748590838,10.743574250038485
5400,227.45347859927716,37.106963476208534,10.98899027993662
5500,230.92483931407855,37.79412946650869,11.21035407974419
5600,234.39620002888003,38.48129545680885,11.403582638986034
5700,237.86756074368145,39.16846144710901,11.566180514505543
5800,241.33892145848287,39.85562743740917,11.697511785332374
5900,244.8102821732843,40.54279342770933,11.79884626007443
6000,248.2816428880857,41.229959418009486,11.873145435715044
6100,251.75300360288713,41.91712540830965,11.924609655989975
6200,255.22436431768855,42.6042913986098,11.958068504077207
